sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
13.754,159.853,0.079,0.041,-0.873,-2.575,0.242,0.294,0.007
0.206,140.969,0.000,0.020,-0.261,-0.306,0.723,0.770,0.274
105.048,37.651,0.026,0.179,1.341,1.207,0.157,0.336,0.004
21.678,140.217,0.494,0.122,0.806,1.948,0.179,0.712,0.015
-99999.000,184.435,0.349,0.040,0.476,0.721,0.121,0.861,0.429
15.866,45.106,0.107,0.332,1.532,1.506,0.143,0.150,0.002
36.963,472.995,0.066,0.007,0.085,0.589,0.165,0.999,0.383
0.086,242.048,0.000,0.358,-2.681,-2.020,0.131,-0.931,0.017
7.878,286.815,0.000,0.007,0.426,0.657,0.143,0.871,0.585
1.989,206.283,0.056,0.003,0.815,1.518,0.056,0.760,0.012
33.931,120.312,0.102,0.245,-1.795,-0.890,0.097,-0.205,0.007
68.417,45.806,0.046,0.287,-0.760,-1.379,0.143,0.650,0.005
99.615,67.285,0.081,0.399,0.678,1.638,0.150,0.835,0.013
45.354,206.236,0.000,0.208,-1.564,-1.592,0.151,-0.102,0.004
38.748,496.003,0.654,0.013,0.053,0.411,0.303,0.998,0.303
51.032,1844.558,0.035,0.007,0.077,0.157,0.137,0.932,0.984
17.819,26.692,0.042,0.278,-0.292,-2.050,0.354,0.897,0.009
98.445,289.627,0.283,0.045,0.414,0.500,0.219,0.812,0.772
94.234,53.599,0.127,0.423,1.095,0.488,0.175,0.349,0.012
42.497,505.175,0.363,0.071,0.503,1.878,0.038,0.897,0.011
74.550,341.847,0.065,0.007,1.109,1.077,0.045,0.518,0.008
-99999.000,625.009,0.751,0.001,-0.342,-0.773,0.305,0.875,0.171
13.896,1422.114,0.930,0.016,-0.335,-0.957,0.305,0.896,0.128
23.722,143.566,0.110,0.069,1.520,1.082,0.058,0.176,0.007
22.566,485.091,0.618,0.017,-0.555,-1.135,0.163,0.782,0.034
199.753,67.141,0.046,0.155,-0.317,-0.316,0.257,0.712,0.039
50.064,180.025,0.456,0.008,-0.370,-1.130,0.123,0.886,0.106
0.111,315.898,0.000,0.029,-0.410,-2.290,0.200,0.792,0.013
21.847,75.826,0.141,0.042,-1.552,-2.200,0.241,-0.117,0.010
17.912,616.456,0.997,0.011,0.266,0.695,0.231,0.963,0.318
