sss_candidate_min_dist,reco_shower_energy_max,reco_shower_nuscore,reco_shower_trackscore,reco_shower_theta_yz,reco_shower_phi_yx,reco_shower_opening_angle,cos_theta,bdt_score
6.958,66.458,0.054,0.176,-0.332,-0.569,0.299,0.840,0.182
-99999.000,184.035,0.035,0.014,-1.103,-1.121,0.147,0.355,0.007
41.630,23.887,0.049,0.162,-0.621,-1.879,0.398,0.718,0.010
15.684,2843.162,0.108,0.289,1.404,1.826,0.010,0.241,0.003
90.862,237.035,0.129,0.294,0.497,0.467,0.077,0.724,0.223
50.411,180.484,0.923,0.018,0.375,2.748,0.156,0.669,0.064
4.920,56.493,0.027,0.029,-0.989,-1.165,0.253,0.456,0.008
10.214,56.973,0.113,0.069,-1.675,-0.741,0.327,-0.083,0.009
14.771,321.999,0.012,0.054,-0.868,-1.959,0.286,0.511,0.005
18.423,100.061,0.066,0.229,1.584,1.354,0.093,0.108,0.004
78.779,108.884,0.038,0.074,-0.880,-1.883,0.246,0.514,0.006
-99999.000,233.904,0.908,0.066,-0.037,-0.059,0.145,0.881,0.929
40.819,151.101,0.011,0.086,-0.915,-1.827,0.408,0.493,0.012
36.573,70.274,0.110,0.377,1.636,1.797,0.149,0.023,0.004
17.177,45.255,0.225,0.007,-1.292,-1.516,0.242,0.175,0.005
11.722,1372.061,0.048,0.000,0.565,1.504,0.092,0.896,0.010
0.071,296.036,0.000,0.051,-1.168,-1.236,0.107,0.301,0.004
33.473,30.949,0.214,0.085,-0.551,-0.635,0.641,0.689,0.030
9.054,29.284,0.000,0.272,-1.363,-1.726,0.446,0.087,0.013
50.600,23.391,0.000,0.005,2.082,1.981,0.362,-0.395,0.006
7.200,37.692,0.026,0.327,-2.107,-2.020,0.144,-0.582,0.003
-99999.000,112.260,0.044,0.475,1.912,0.830,0.074,-0.124,0.004
0.156,63.802,0.000,0.463,-1.119,-1.401,0.310,0.345,0.005
0.405,20.227,0.008,0.058,1.570,1.440,0.228,0.117,0.002
14.447,39.234,0.309,0.490,0.209,2.140,0.137,0.973,0.013
9.208,151.701,0.000,0.150,-1.485,-1.848,0.315,-0.041,0.005
14.809,92.848,0.029,0.076,-2.046,-1.469,0.355,-0.539,0.013
16.409,33.214,0.077,0.326,1.233,1.345,0.230,0.436,0.002
0.057,73.336,0.000,0.050,-1.170,-2.251,0.247,0.184,0.006
268.799,69.091,0.007,0.371,-1.682,-1.430,0.127,-0.202,0.002
134.256,44.301,0.021,0.495,0.927,2.293,0.136,0.511,0.004
5.872,76.968,0.034,0.094,-1.429,-1.450,0.195,0.044,0.008
10.359,165.168,0.055,0.093,-0.523,-1.337,0.471,0.809,0.064
0.225,81.839,0.002,0.045,-1.810,-1.648,0.113,-0.343,0.027
19.915,76.013,0.069,0.438,0.600,0.307,0.124,0.499,0.010
-99999.000,551.270,0.011,0.081,1.065,2.363,0.046,0.376,0.002
160.470,131.845,0.375,0.268,0.761,0.575,0.156,0.599,0.134
211.238,24.135,0.056,0.277,1.508,1.800,0.223,0.146,0.003
7.585,47.183,0.027,0.358,2.107,1.264,0.106,-0.380,0.002
